realtime_start,realtime_end,date,value
2024-05-29,2024-05-29,1969-04-01,36.3
2024-05-29,2024-05-29,1969-05-01,36.4
2024-05-29,2024-05-29,1969-06-01,36.6
2024-05-29,2024-05-29,1969-07-01,36.8
2024-05-29,2024-05-29,1969-08-01,36.9
2024-05-29,2024-05-29,1969-09-01,37.1
2024-05-29,2024-05-29,1969-10-01,37.3
2024-05-29,2024-05-29,1969-11-01,37.5
2024-05-29,2024-05-29,1969-12-01,37.7
2024-05-29,2024-05-29,1970-01-01,37.9
2024-05-29,2024-05-29,1970-02-01,38.1
2024-05-29,2024-05-29,1970-03-01,38.3
2024-05-29,2024-05-29,1970-04-01,38.5
2024-05-29,2024-05-29,1970-05-01,38.6
2024-05-29,2024-05-29,1970-06-01,38.8
2024-05-29,2024-05-29,1970-07-01,38.9
2024-05-29,2024-05-29,1970-08-01,39.0
2024-05-29,2024-05-29,1970-09-01,39.2
2024-05-29,2024-05-29,1970-10-01,39.4
2024-05-29,2024-05-29,1970-11-01,39.6
2024-05-29,2024-05-29,1970-12-01,39.8
2024-05-29,2024-05-29,1971-01-01,39.9
2024-05-29,2024-05-29,1971-02-01,39.9
2024-05-29,2024-05-29,1971-03-01,40.0
2024-05-29,2024-05-29,1971-04-01,40.1
2024-05-29,2024-05-29,1971-05-01,40.3
2024-05-29,2024-05-29,1971-06-01,40.5
2024-05-29,2024-05-29,1971-07-01,40.6
2024-05-29,2024-05-29,1971-08-01,40.7
2024-05-29,2024-05-29,1971-09-01,40.8
2024-05-29,2024-05-29,1971-10-01,40.9
2024-05-29,2024-05-29,1971-11-01,41.0
2024-05-29,2024-05-29,1971-12-01,41.1
2024-05-29,2024-05-29,1972-01-01,41.2
2024-05-29,2024-05-29,1972-02-01,41.4
2024-05-29,2024-05-29,1972-03-01,41.4
2024-05-29,2024-05-29,1972-04-01,41.5
2024-05-29,2024-05-29,1972-05-01,41.6
2024-05-29,2024-05-29,1972-06-01,41.7
2024-05-29,2024-05-29,1972-07-01,41.8
2024-05-29,2024-05-29,1972-08-01,41.9
2024-05-29,2024-05-29,1972-09-01,42.1
2024-05-29,2024-05-29,1972-10-01,42.2
2024-05-29,2024-05-29,1972-11-01,42.4
2024-05-29,2024-05-29,1972-12-01,42.5
2024-05-29,2024-05-29,1973-01-01,42.7
2024-05-29,2024-05-29,1973-02-01,43.0
2024-05-29,2024-05-29,1973-03-01,43.4
2024-05-29,2024-05-29,1973-04-01,43.7
2024-05-29,2024-05-29,1973-05-01,43.9
2024-05-29,2024-05-29,1973-06-01,44.2
2024-05-29,2024-05-29,1973-07-01,44.2
2024-05-29,2024-05-29,1973-08-01,45.0
2024-05-29,2024-05-29,1973-09-01,45.2
2024-05-29,2024-05-29,1973-10-01,45.6
2024-05-29,2024-05-29,1973-11-01,45.9
2024-05-29,2024-05-29,1973-12-01,46.3
2024-05-29,2024-05-29,1974-01-01,46.8
2024-05-29,2024-05-29,1974-02-01,47.3
2024-05-29,2024-05-29,1974-03-01,47.8
2024-05-29,2024-05-29,1974-04-01,48.1
2024-05-29,2024-05-29,1974-05-01,48.6
2024-05-29,2024-05-29,1974-06-01,49.0
2024-05-29,2024-05-29,1974-07-01,49.3
2024-05-29,2024-05-29,1974-08-01,49.9
2024-05-29,2024-05-29,1974-09-01,50.6
2024-05-29,2024-05-29,1974-10-01,51.0
2024-05-29,2024-05-29,1974-11-01,51.5
2024-05-29,2024-05-29,1974-12-01,51.9
2024-05-29,2024-05-29,1975-01-01,52.3
2024-05-29,2024-05-29,1975-02-01,52.6
2024-05-29,2024-05-29,1975-03-01,52.8
2024-05-29,2024-05-29,1975-04-01,53.0
2024-05-29,2024-05-29,1975-05-01,53.1
2024-05-29,2024-05-29,1975-06-01,53.5
2024-05-29,2024-05-29,1975-07-01,54.0
2024-05-29,2024-05-29,1975-08-01,54.2
2024-05-29,2024-05-29,1975-09-01,54.6
2024-05-29,2024-05-29,1975-10-01,54.9
2024-05-29,2024-05-29,1975-11-01,55.3
2024-05-29,2024-05-29,1975-12-01,55.6
2024-05-29,2024-05-29,1976-01-01,55.8
2024-05-29,2024-05-29,1976-02-01,55.9
2024-05-29,2024-05-29,1976-03-01,56.0
2024-05-29,2024-05-29,1976-04-01,56.1
2024-05-29,2024-05-29,1976-05-01,56.4
2024-05-29,2024-05-29,1976-06-01,56.7
2024-05-29,2024-05-29,1976-07-01,57.0
2024-05-29,2024-05-29,1976-08-01,57.3
2024-05-29,2024-05-29,1976-09-01,57.6
2024-05-29,2024-05-29,1976-10-01,57.9
2024-05-29,2024-05-29,1976-11-01,58.1
2024-05-29,2024-05-29,1976-12-01,58.4
2024-05-29,2024-05-29,1977-01-01,58.7
2024-05-29,2024-05-29,1977-02-01,59.3
2024-05-29,2024-05-29,1977-03-01,59.6
2024-05-29,2024-05-29,1977-04-01,60.0
2024-05-29,2024-05-29,1977-05-01,60.2
2024-05-29,2024-05-29,1977-06-01,60.5
2024-05-29,2024-05-29,1977-07-01,60.8
2024-05-29,2024-05-29,1977-08-01,61.1
2024-05-29,2024-05-29,1977-09-01,61.3
2024-05-29,2024-05-29,1977-10-01,61.6
2024-05-29,2024-05-29,1977-11-01,62.0
2024-05-29,2024-05-29,1977-12-01,62.3
2024-05-29,2024-05-29,1978-01-01,62.7
